State,STATE PCODE,District, Township ,Township Pcode,Population (2014 Cen.),Population (2021 Proj),Urban Pop  (2021 Proj), Rural Pop  (2021 Proj),% of people with disabilities (Age 5 yrs+),% Female,% CHILDREN  (Age 18<),% ADULTS ( Age 18-60),% ELDERS  (Age 60+),Population baseline (without IDPs),IDPs,IDP returnees/ resettled/ locally integrated (Sep 2021),Non-displaced stateless people in Rakhine (2021 HNO),# of most vulnerable crisis-affected people BASELINE,%IDPs,%Returnees,%Rakhine State/Less,%Other vulnerable People
Ayeyarwady,MMR017,Pyapon,Bogale,MMR017024,322665,322567.7843,43210.97705,279356.8073,0.173281789,0.5063115,0.346785174,0.570961784,0.082253042,322567.7843,0,0,,171119.8046,,0,0,100
Ayeyarwady,MMR017,Pyapon,Kyaiklat,MMR017025,193340,193281.7486,24471.62473,168810.1239,0.173281789,0.509480708,0.346785174,0.570961784,0.082253042,193281.7486,0,0,,102534.5266,,0,0,100
Ayeyarwady,MMR017,Pyapon,Dedaye,MMR017026,202926,202864.8605,15315.38424,187549.4762,0.173281789,0.509111696,0.346785174,0.570961784,0.082253042,202864.8605,0,0,,107618.296,,0,0,100
Bago (East),MMR111,Bago,Bago,MMR007001,491434,498305.6739,257981.5861,240324.0878,0.125583434,0.520731166,0.33761189,0.574855882,0.087532227,498305.6739,0,0,,286336.585,,0,0,100
Bago (East),MMR111,Bago,Thanatpin,MMR007002,145287,147318.534,16043.23749,131275.2965,0.125583434,0.524141871,0.33761189,0.574855882,0.087532227,147318.534,0,0,,77279.72233,,0,0,100
Bago (East),MMR111,Bago,Kawa,MMR007003,197363,200122.7077,17639.24658,182483.4611,0.125583434,0.524713345,0.33761189,0.574855882,0.087532227,200122.7077,0,0,,104979.5084,,0,0,100
Bago (East),MMR111,Bago,Waw,MMR007004,176014,178475.1867,23466.60632,155008.5803,0.125583434,0.524475326,0.33761189,0.574855882,0.087532227,178475.1867,0,0,,93623.74505,,0,0,100
Bago (East),MMR111,Bago,Nyaunglebin,MMR007005,199483,202272.3514,60072.4031,142199.9483,0.125583434,0.526455888,0.33761189,0.574855882,0.087532227,202272.3514,0,0,,106107.1593,,0,0,100
Bago (East),MMR111,Bago,Kyauktaga,MMR007006,251212,254724.673,32098.64277,222626.0302,0.125583434,0.522220276,0.33761189,0.574855882,0.087532227,254724.673,0,0,,133622.3723,,0,0,100
Bago (East),MMR111,Bago,Daik-U,MMR007007,202530,205361.9573,39015.02015,166346.9372,0.125583434,0.524208759,0.33761189,0.574855882,0.087532227,205361.9573,0,0,,107727.8914,,0,0,100
Bago (East),MMR111,Bago,Shwegyin,MMR007008,107462,108964.6307,24922.68577,84041.94494,0.125583434,0.505946288,0.33761189,0.574855882,0.087532227,108964.6307,0,0,,57160.19686,,0,0,100
Bago (East),MMR111,Taungoo,Taungoo,MMR007009,262056,265720.3036,110107.3894,155612.9142,0.125583434,0.522460848,0.33761189,0.574855882,0.087532227,265720.3036,0,0,,139390.4129,,0,0,100
Bago (East),MMR111,Taungoo,Yedashe,MMR007010,213593,216579.6502,24761.46249,191818.1877,0.125583434,0.516379282,0.33761189,0.574855882,0.087532227,216579.6502,0,0,,113612.4205,,0,0,100
Bago (East),MMR111,Taungoo,Kyaukkyi,MMR007011,113329,114913.6684,10966.22509,103947.4433,0.125583434,0.520978743,0.33761189,0.574855882,0.087532227,112400.6684,2513,0,,61775.18555,,0,0,100
Bago (East),MMR111,Taungoo,Phyu,MMR007012,257273,260870.4234,64773.22783,196097.1955,0.125583434,0.529204386,0.33761189,0.574855882,0.087532227,260870.4234,0,0,,136846.2836,,0,0,100
Bago (East),MMR111,Taungoo,Oktwin,MMR007013,159828,162062.8594,14340.76019,147722.0992,0.125583434,0.528361739,0.33761189,0.574855882,0.087532227,162062.8594,0,0,,85014.23707,,0,0,100
Bago (East),MMR111,Taungoo,Htantabin,MMR007014,117276,118915.8589,10027.27693,108888.582,0.125583434,0.528181384,0.33761189,0.574855882,0.087532227,118915.8589,0,0,,62380.36931,,0,0,100
Bago (West),MMR111,Pyay,Pyay,MMR008001,251643,255161.6996,136746.7483,118414.9514,0.125583434,0.524445345,0.33761189,0.574855882,0.087532227,255161.6996,0,0,,140236.3666,,0,0,100
Bago (West),MMR111,Pyay,Paukkhaung,MMR008002,124856,126601.8493,14233.27801,112368.5713,0.125583434,0.51190972,0.33761189,0.574855882,0.087532227,126601.8493,0,0,,66412.25307,,0,0,100
Bago (West),MMR111,Pyay,Padaung,MMR008003,144214,146230.5304,17925.18976,128305.3406,0.125583434,0.519575076,0.33761189,0.574855882,0.087532227,146230.5304,0,0,,76708.98206,,0,0,100
Bago (West),MMR111,Pyay,Paungde,MMR008004,137561,139484.5021,25810.93479,113673.5673,0.125583434,0.518671717,0.33761189,0.574855882,0.087532227,139484.5021,0,0,,73170.1796,,0,0,100
Bago (West),MMR111,Pyay,Thegon,MMR008005,130957,132788.159,15972.25869,116815.9003,0.125583434,0.52803592,0.33761189,0.574855882,0.087532227,132788.159,0,0,,69657.44077,,0,0,100
Bago (West),MMR111,Pyay,Shwedaung,MMR008006,121671,123372.3138,17928.23171,105444.0821,0.125583434,0.53450699,0.33761189,0.574855882,0.087532227,123372.3138,0,0,,64718.11722,,0,0,100
Bago (West),MMR111,Thayarwady,Thayarwady,MMR008007,151104,153216.8726,36315.79767,116901.0749,0.125583434,0.518397925,0.33761189,0.574855882,0.087532227,153216.8726,0,0,,80373.84737,,0,0,100
Bago (West),MMR111,Thayarwady,Letpadan,MMR008008,177407,179887.6648,25138.66413,154749.0007,0.125583434,0.524280327,0.33761189,0.574855882,0.087532227,179887.6648,0,0,,94364.69677,,0,0,100
Bago (West),MMR111,Thayarwady,Minhla,MMR008009,122491,124203.7798,11860.55801,112343.2217,0.125583434,0.521785274,0.33761189,0.574855882,0.087532227,124203.7798,0,0,,65154.28406,,0,0,100
Bago (West),MMR111,Thayarwady,Okpho,MMR008010,126662,128433.1024,11686.15296,116746.9495,0.125583434,0.520732343,0.33761189,0.574855882,0.087532227,128433.1024,0,0,,67372.88395,,0,0,100
Bago (West),MMR111,Thayarwady,Zigon,MMR008011,67523,68467.16755,15446.00156,53021.16599,0.125583434,0.523614176,0.33761189,0.574855882,0.087532227,68467.16755,0,0,,35916.21199,,0,0,100
Bago (West),MMR111,Thayarwady,Nattalin,MMR008012,172141,174548.0309,19193.68237,155354.3485,0.125583434,0.52316415,0.33761189,0.574855882,0.087532227,174548.0309,0,0,,91563.65457,,0,0,100
Bago (West),MMR111,Thayarwady,Monyo,MMR008013,127570,129353.7989,9589.236312,119764.5626,0.125583434,0.524465,0.33761189,0.574855882,0.087532227,129353.7989,0,0,,67855.85894,,0,0,100
Bago (West),MMR111,Thayarwady,Gyobingauk,MMR008014,117433,119075.0542,23267.86567,95807.18856,0.125583434,0.525269728,0.33761189,0.574855882,0.087532227,119075.0542,0,0,,62463.87931,,0,0,100
Chin,MMR004,Falam,Falam,MMR004001,48077,51831.49727,13687.47404,38144.02323,0.206297108,0.508642386,0.461809812,0.472438445,0.065751742,47521.49727,4310,0,,27912.50141,,0,0,100
Chin,MMR004,Falam,Tedim,MMR004004,87623,94465.77959,14502.51266,79963.26693,0.206297108,0.52150691,0.461809812,0.472438445,0.065751742,94465.77959,0,0,,57537.53562,,0,0,100
Chin,MMR004,Falam,Tonzang,MMR004005,31878,34367.46199,5635.194297,28732.26769,0.206297108,0.50774829,0.461809812,0.472438445,0.065751742,34367.46199,0,0,,20186.27119,,0,0,100
Chin,MMR004,Hakha,Hakha,MMR004002,48352,52127.97296,26872.55654,25255.41642,0.206297108,0.523866645,0.461809812,0.472438445,0.065751742,51872.97296,255,0,,32721.52129,,0,0,100
Chin,MMR004,Hakha,Thantlang,MMR004003,50374,54307.87785,8179.494765,46128.38309,0.206297108,0.516040021,0.461809812,0.472438445,0.065751742,52913.87785,1394,0,,32228.96317,,0,0,100
Chin,MMR004,Matupi,Matupi,MMR004007,51351,55361.17512,11698.39168,43662.78344,0.206297108,0.529687835,0.461809812,0.472438445,0.065751742,55361.17512,0,0,,32517.25992,,0,0,100
Chin,MMR004,Matupi,Paletwa,MMR004009,97053,104632.2005,10140.54669,94491.65383,0.206297108,0.518098359,0.461809812,0.472438445,0.065751742,94791.20053,9841,0,,55677.10763,,0,0,100
